,key,uid,ctr,coord,lbl,guid,subcl
0,5044,5044,"[60699, 2619]","[[60674  2594]
 [60724  2644]]",1,798d3345-c889-4f61-a0f7-7db2e7f2d0f7,0
786,32783,32783,"[23661, 48631]","[[23636 48606]
 [23686 48656]]",1,4e7ffb04-6a66-49ad-b9b2-86ba8dd14ce5,0
785,32782,32782,"[22545, 49030]","[[22520 49005]
 [22570 49055]]",1,d0341f78-f167-4fcc-b8e0-7898b9b5b787,8
784,32781,32781,"[12770, 48725]","[[12745 48700]
 [12795 48750]]",1,79934ecc-5d5c-48c8-89bd-d841f6ab8c4d,8
783,32780,32780,"[8083, 48897]","[[ 8058 48872]
 [ 8108 48922]]",1,a8a24e3c-5dd5-439f-aa6a-1fbf7275a983,8
782,32779,32779,"[5594, 48769]","[[ 5569 48744]
 [ 5619 48794]]",1,82244913-b101-4e18-b690-6e0fac0442a9,8
781,32778,32778,"[5899, 48887]","[[ 5874 48862]
 [ 5924 48912]]",1,b7ec4eec-97df-41af-b9ae-aa602844dbde,8
787,32784,32784,"[35267, 48825]","[[35242 48800]
 [35292 48850]]",1,dee03f31-dd9d-4739-b262-3406912ad32c,8
780,32777,32777,"[83912, 48327]","[[83887 48302]
 [83937 48352]]",1,8e80d1ad-1605-4b6b-b8c6-2adf30d8c162,8
778,32775,32775,"[7708, 47980]","[[ 7683 47955]
 [ 7733 48005]]",1,7f7452cd-5460-44ae-96ff-e94fad5680de,8
777,32774,32774,"[7145, 47658]","[[ 7120 47633]
 [ 7170 47683]]",1,3790a111-54ca-4463-97d0-0a68e414d49b,8
776,32773,32773,"[7230, 47628]","[[ 7205 47603]
 [ 7255 47653]]",1,d1cfc38a-6595-4f96-b954-a3d6b46b5991,8
775,32772,32772,"[54599, 46997]","[[54574 46972]
 [54624 47022]]",1,45e7c9dc-7efa-41ef-bf8d-cf87622dadb4,0
772,32769,32769,"[32254, 47574]","[[32229 47549]
 [32279 47599]]",1,76131cd9-8a3a-4995-87b8-b198f7fcce59,8
771,32768,32768,"[29788, 47502]","[[29763 47477]
 [29813 47527]]",1,cf207750-ed70-419f-9a3c-c4200518a1a8,8
779,32776,32776,"[37101, 48262]","[[37076 48237]
 [37126 48287]]",1,67811e4c-bd8a-4ccb-9d6f-cb55e52d3716,8
770,32767,32767,"[21900, 47379]","[[21875 47354]
 [21925 47404]]",1,4c13e348-380c-462f-85a4-1bef72b97b1c,0
788,32785,32785,"[38272, 49037]","[[38247 49012]
 [38297 49062]]",1,4226a3e9-0c19-415a-8cfe-49afed698886,8
790,32787,32787,"[15956, 49814]","[[15931 49789]
 [15981 49839]]",1,6707d7f3-b8ac-436c-ad3f-109ac72ba268,8
804,32803,32803,"[16916, 51676]","[[16891 51651]
 [16941 51701]]",1,434735ed-d03b-42b4-bcd0-5ed3ffebac5a,8
803,32802,32802,"[7867, 51730]","[[ 7842 51705]
 [ 7892 51755]]",1,a596900c-8807-4aca-b064-1ead406f3259,8
802,32801,32801,"[5911, 51567]","[[ 5886 51542]
 [ 5936 51592]]",1,08dc174b-f06c-48b7-9920-0a283975cd33,8
801,32800,32800,"[38191, 50864]","[[38166 50839]
 [38216 50889]]",1,aa7cacca-fdbe-4dda-9d54-2ffc8024779a,8
800,32799,32799,"[36828, 51312]","[[36803 51287]
 [36853 51337]]",1,2ac36034-0973-4c04-8325-3b4363bd43a5,8
799,32798,32798,"[32149, 51382]","[[32124 51357]
 [32174 51407]]",1,d31415ef-bb31-4981-937b-ffa8f7ab9f73,8
789,32786,32786,"[80866, 48998]","[[80841 48973]
 [80891 49023]]",1,4515aa1a-4fd7-4bd6-89d4-6dfa7d10dd50,8
798,32797,32797,"[29512, 50712]","[[29487 50687]
 [29537 50737]]",1,3e8c6004-214e-4700-a006-6863f0d29cd4,8
796,32795,32795,"[14909, 50912]","[[14884 50887]
 [14934 50937]]",1,d305936f-f3e3-4b92-bae4-76cda91708e1,8
795,32794,32794,"[5737, 51402]","[[ 5712 51377]
 [ 5762 51427]]",1,5a1e79d7-87bd-49cd-bc7b-5d091c047d1f,8
794,32793,32793,"[82616, 49966]","[[82591 49941]
 [82641 49991]]",1,49cf2426-9f73-4406-b2ae-9cffe9728421,0
793,32792,32792,"[82574, 50002]","[[82549 49977]
 [82599 50027]]",1,517bed42-49f0-4584-9ec6-44048f68e09e,0
792,32791,32791,"[40109, 50381]","[[40084 50356]
 [40134 50406]]",1,767bdb80-88a3-4036-af53-b941b65e8981,8
791,32790,32790,"[31799, 50109]","[[31774 50084]
 [31824 50134]]",1,62d9815c-3adc-4a2c-82f1-1571283e80cc,0
797,32796,32796,"[21344, 51214]","[[21319 51189]
 [21369 51239]]",1,7c604afc-0cb8-4118-a4a4-921779ba78ba,8
805,32804,32804,"[17675, 51650]","[[17650 51625]
 [17700 51675]]",1,9c978250-b1bc-4971-9c0a-9b5f5f5ccd47,8
769,32766,32766,"[22021, 47144]","[[21996 47119]
 [22046 47169]]",1,617ef975-e24e-4c8a-969f-9918d37ba5e0,8
767,32764,32764,"[35305, 46322]","[[35280 46297]
 [35330 46347]]",1,54a0afe2-00b7-47be-9670-113a7910eae3,8
