,key,uid,ctr,coord,lbl,guid,subcl
0,17891,17891,"[89684, 5951]","[[89659  5926]
 [89709  5976]]",1,f64a8f9b-bff4-45e7-85a8-562aeb96a1e2,0
265,18164,18164,"[76338, 44186]","[[76313 44161]
 [76363 44211]]",1,175b15b1-a354-4e80-a05c-a0ca84edd39c,0
442,31116,31116,"[58076, 24216]","[[58051 24191]
 [58101 24241]]",1,fa3e6382-a3c5-42bd-9c3a-733fa4efc046,8
263,18162,18162,"[78045, 43400]","[[78020 43375]
 [78070 43425]]",1,95f67b03-6e30-4a91-a44a-d8de416581ba,8
262,18161,18161,"[71121, 43700]","[[71096 43675]
 [71146 43725]]",1,8e4d2916-75e5-4295-8192-374cbf9ee2e4,8
261,18160,18160,"[29079, 43034]","[[29054 43009]
 [29104 43059]]",1,1ba1b8f8-e015-44e7-9615-01d776b8c51c,8
443,31117,31117,"[103903, 24160]","[[103878  24135]
 [103928  24185]]",1,de0fadf1-8de6-4ae4-a1b7-9d91f1920ca8,8
444,31118,31118,"[108968, 23955]","[[108943  23930]
 [108993  23980]]",1,ee2ea134-8eb1-4f3f-9a3d-bfb33218d2e5,8
445,31119,31119,"[9260, 25111]","[[ 9235 25086]
 [ 9285 25136]]",1,f03b927e-83f6-4826-a234-c8fc9ae381ba,8
446,31120,31120,"[61380, 24779]","[[61355 24754]
 [61405 24804]]",1,ad835fc9-980d-4445-b1a9-325cafb648af,8
266,18165,18165,"[76391, 44162]","[[76366 44137]
 [76416 44187]]",1,88c8dce4-b92e-4e6e-9a79-f546d616f300,0
447,31121,31121,"[103476, 25559]","[[103451  25534]
 [103501  25584]]",1,2b14ec7b-eae6-4cd0-aa4c-7c48755a0ed0,0
254,18153,18153,"[111659, 40834]","[[111634  40809]
 [111684  40859]]",1,297e544c-0a53-434f-959b-0658bbf0bc17,8
253,18152,18152,"[107114, 40819]","[[107089  40794]
 [107139  40844]]",1,de13a127-865c-462b-aaf4-7147b7117d51,8
503,31180,31180,"[34362, 60476]","[[34337 60451]
 [34387 60501]]",1,10fc7dd0-ac56-47b1-b14f-f7bc0caaab9a,0
251,18150,18150,"[67370, 41026]","[[67345 41001]
 [67395 41051]]",1,3a00b65b-c668-4a63-abe6-57a52e6cfc74,8
449,31124,31124,"[64300, 26570]","[[64275 26545]
 [64325 26595]]",1,4bc7acf0-cc3e-4da7-81c3-84d765397719,8
249,18148,18148,"[111235, 40391]","[[111210  40366]
 [111260  40416]]",1,89cbe7df-3071-45f2-861e-d675c5a0459a,8
248,18147,18147,"[101988, 40313]","[[101963  40288]
 [102013  40338]]",1,91d82cde-7235-4019-b16f-243d412846c5,8
246,18145,18145,"[107028, 39394]","[[107003  39369]
 [107053  39419]]",1,f4c0ddf0-0983-42a7-845f-c848ab64be24,8
245,18144,18144,"[106545, 39927]","[[106520  39902]
 [106570  39952]]",1,19f9f470-b445-4bba-add2-02e2afc9bb55,8
448,31123,31123,"[60198, 26608]","[[60173 26583]
 [60223 26633]]",1,219150d4-f53a-4865-b2c2-81df0572bed7,8
244,18143,18143,"[106659, 39834]","[[106634  39809]
 [106684  39859]]",1,a9d0c1cd-00ab-4fa9-b23d-1e1839844514,8
