,key,uid,ctr,coord,lbl,guid,subcl
189,24826,24826,"[27704, 46517]","[[27679 46492]
 [27729 46542]]",1,4c44c8ae-c6a9-43e7-9c09-0fa10c0263fc,8
262,39924,39924,"[45221, 16241]","[[45196 16216]
 [45246 16266]]",1,c3f9305e-fcec-4e23-885e-63b17b30ecad,8
261,39923,39923,"[39121, 16627]","[[39096 16602]
 [39146 16652]]",1,b76d28aa-8d75-4f42-b322-ef8882df1468,8
260,39922,39922,"[14214, 16471]","[[14189 16446]
 [14239 16496]]",1,a3348649-42fe-4715-a0ac-b12f8fd1d1ea,8
259,39921,39921,"[36401, 15490]","[[36376 15465]
 [36426 15515]]",1,a1acf810-8f36-4e31-b273-ea6b6811436a,8
258,39920,39920,"[16165, 15589]","[[16140 15564]
 [16190 15614]]",1,7de5138e-fdb1-4c84-a837-48adcaf5443c,8
256,39918,39918,"[40181, 14657]","[[40156 14632]
 [40206 14682]]",1,d3efcd36-3a7b-40d6-8594-ccb3ed71c9b0,8
255,39917,39917,"[30291, 14114]","[[30266 14089]
 [30316 14139]]",1,66860a21-54ed-42e0-97fc-bdac94ecf060,8
263,39925,39925,"[16890, 17186]","[[16865 17161]
 [16915 17211]]",1,6f9e3695-9712-40d0-9a3c-d6c7b0e14bd8,8
254,39916,39916,"[23970, 13950]","[[23945 13925]
 [23995 13975]]",1,bb35f360-68c3-4d93-94ec-070bb1aaef60,8
252,39911,39911,"[30423, 13747]","[[30398 13722]
 [30448 13772]]",1,7e3a1cac-676d-4724-9802-3fa0551f9e81,8
251,39910,39910,"[30494, 13731]","[[30469 13706]
 [30519 13756]]",1,8a4344d2-9dbc-4ec6-a84b-39d87efc4b8f,8
250,39909,39909,"[34210, 12485]","[[34185 12460]
 [34235 12510]]",1,2bf5f050-0afc-4e51-bd4b-0b6ae8b9f654,8
249,39908,39908,"[24623, 11026]","[[24598 11001]
 [24648 11051]]",1,9b0cd400-c1e1-4ed4-a479-86ec46aba60c,8
248,39907,39907,"[37845, 10656]","[[37820 10631]
 [37870 10681]]",1,57631b0a-95f0-43d3-9beb-3b2311e6ae8e,8
247,39906,39906,"[26169, 10435]","[[26144 10410]
 [26194 10460]]",1,cbfa6977-fb8c-41f7-bd2c-1b8f4aa69ba1,8
