,key,uid,ctr,coord,lbl,guid,subcl
0,22544,22544,"[28426, 14033]","[[28401 14008]
 [28451 14058]]",1,b0361faf-222f-4422-980e-50fe7520ac1d,8
357,22906,22906,"[17774, 59885]","[[17749 59860]
 [17799 59910]]",1,4bb87e03-eb80-405e-8f9d-535c0a1dc54f,8
356,22905,22905,"[13096, 60025]","[[13071 60000]
 [13121 60050]]",1,5366b30e-514f-48ff-92bd-0a35f536e02f,8
355,22904,22904,"[50625, 59445]","[[50600 59420]
 [50650 59470]]",1,72c95b3f-2218-425f-ba03-bd387bf54f38,8
354,22903,22903,"[50673, 59517]","[[50648 59492]
 [50698 59542]]",1,e68b0a20-84fd-4e15-8e67-d89e44ef7e70,8
353,22902,22902,"[50900, 59548]","[[50875 59523]
 [50925 59573]]",1,c8b10e30-5d4b-4023-8842-260db90c490a,8
351,22900,22900,"[48493, 59522]","[[48468 59497]
 [48518 59547]]",1,923ddbfc-799c-4f93-b4c9-41c493391bba,8
350,22899,22899,"[51171, 58280]","[[51146 58255]
 [51196 58305]]",1,bb0248df-2371-4d91-97b8-10d09a29d73b,8
349,22898,22898,"[49943, 58343]","[[49918 58318]
 [49968 58368]]",1,42a4fc72-3164-4bf7-adb3-b338505861e0,8
348,22897,22897,"[50275, 58409]","[[50250 58384]
 [50300 58434]]",1,83a12cb6-b185-4ea7-83de-daaff496f4d3,8
345,22894,22894,"[51179, 56683]","[[51154 56658]
 [51204 56708]]",1,c6ccfd54-323c-47cb-bddd-4d4a0fcbbe5e,8
344,22893,22893,"[50400, 56859]","[[50375 56834]
 [50425 56884]]",1,db881729-fa87-40cb-9558-1c7ec58ed653,8
343,22892,22892,"[50248, 56156]","[[50223 56131]
 [50273 56181]]",1,2ff3c9f4-8229-4e61-9062-5fa06e824ad6,8
342,22891,22891,"[48679, 56393]","[[48654 56368]
 [48704 56418]]",1,1f8a1ef5-7502-40d1-a76d-42dccd767b63,8
340,22889,22889,"[51596, 55804]","[[51571 55779]
 [51621 55829]]",1,6fdfbe7f-fbf2-48b9-9ca2-20a597c293fa,8
339,22888,22888,"[52163, 55109]","[[52138 55084]
 [52188 55134]]",1,708f4f6c-2d8a-4a6d-af1b-355265c1dd10,8
337,22886,22886,"[48451, 53824]","[[48426 53799]
 [48476 53849]]",1,4f15975f-9ca2-4930-9e35-b89eb95b015a,8
336,22885,22885,"[48582, 53820]","[[48557 53795]
 [48607 53845]]",1,25a57fd8-3fee-4def-81bd-c905e5dc3568,8
335,22884,22884,"[42969, 54195]","[[42944 54170]
 [42994 54220]]",1,75b39899-632e-44a5-b7d8-3a083ecb8926,8
334,22883,22883,"[50291, 53272]","[[50266 53247]
 [50316 53297]]",1,4962bdfe-4655-445e-8f62-e2a0e13346f4,8
333,22882,22882,"[47094, 53213]","[[47069 53188]
 [47119 53238]]",1,31c880ed-f817-4215-8f46-51d75f9889dd,8
332,22881,22881,"[47476, 53141]","[[47451 53116]
 [47501 53166]]",1,e0ce3f7b-d46b-4385-bd08-221190428a5e,8
331,22880,22880,"[44980, 52739]","[[44955 52714]
 [45005 52764]]",1,1fdd44ba-ac33-4da5-838a-c47b38a321de,8
329,22878,22878,"[38640, 53502]","[[38615 53477]
 [38665 53527]]",1,271fef8f-95f6-4441-b753-79488454f9a2,8
327,22876,22876,"[47740, 51321]","[[47715 51296]
 [47765 51346]]",1,6c3c1268-c885-43a0-a9bd-b4aea6e4c075,8
326,22875,22875,"[48357, 51816]","[[48332 51791]
 [48382 51841]]",1,6a4ff166-b20a-406f-bd99-854a4fe0f167,8
358,22907,22907,"[47889, 59777]","[[47864 59752]
 [47914 59802]]",1,576a6fd4-e246-4f19-90c2-4dd6e5904b18,8
359,22908,22908,"[47915, 60088]","[[47890 60063]
 [47940 60113]]",1,bcc3fdaa-c701-43c4-8b90-94ff562334bd,8
363,22912,22912,"[46402, 61124]","[[46377 61099]
 [46427 61149]]",1,7a3c4919-3132-43e7-bbd5-4b9021036d03,8
364,22913,22913,"[48606, 60740]","[[48581 60715]
 [48631 60765]]",1,ee20e924-4713-4f82-8291-605f409fc06f,8
397,22946,22946,"[30950, 70693]","[[30925 70668]
 [30975 70718]]",1,930a9a7e-4f23-4001-9764-fd4004bf16e5,8
